t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-3.3400000000e-02,	2.5000000000e+00,	2.5000000000e+02,	5.5000000000e+02,	-6.0000000000e+00
1.0000000000e-04,	-3.3979016174e-02,	2.4999966307e+00,	2.6186589392e+02,	5.4089662584e+02,	-5.5806146384e+00
2.0000000000e-04,	-3.4516194860e-02,	2.4999932056e+00,	2.7372831288e+02,	5.3189789707e+02,	-5.1633916836e+00
3.0000000000e-04,	-3.5011797397e-02,	2.4999897288e+00,	2.8557558133e+02,	5.2303875298e+02,	-4.7492634329e+00
4.0000000000e-04,	-3.5466189979e-02,	2.4999862046e+00,	2.9739596889e+02,	5.1436728099e+02,	-4.3394262419e+00
5.0000000000e-04,	-3.5879885056e-02,	2.4999826370e+00,	3.0917769605e+02,	5.0596385288e+02,	-3.9357231367e+00
6.0000000000e-04,	-3.6253714836e-02,	2.4999790300e+00,	3.2090895259e+02,	4.9815815697e+02,	-3.5449840878e+00
7.0000000000e-04,	-3.6589591026e-02,	2.4999753875e+00,	3.3257801606e+02,	4.9128483897e+02,	-3.1741364582e+00
8.0000000000e-04,	-3.6888789348e-02,	2.4999717133e+00,	3.4417330310e+02,	4.8471707243e+02,	-2.8108753865e+00
9.0000000000e-04,	-3.7151956740e-02,	2.4999680109e+00,	3.5568313390e+02,	4.7835132001e+02,	-2.4533637221e+00
1.0000000000e-03,	-3.7379633438e-02,	2.4999642841e+00,	3.6709561921e+02,	4.7214582093e+02,	-2.1010040343e+00
1.1000000000e-03,	-3.7572322167e-02,	2.4999605362e+00,	3.7839857790e+02,	4.6607802172e+02,	-1.7535888763e+00
1.2000000000e-03,	-3.7730515293e-02,	2.4999567707e+00,	3.8957944391e+02,	4.6013442809e+02,	-1.4110996836e+00
1.3000000000e-03,	-3.7854709335e-02,	2.4999529912e+00,	4.0062514968e+02,	4.5430664576e+02,	-1.0736299216e+00
1.4000000000e-03,	-3.7945414199e-02,	2.4999492009e+00,	4.1152197204e+02,	4.4858946007e+02,	-7.4134976045e-01
1.5000000000e-03,	-3.8003159879e-02,	2.4999454032e+00,	4.2225532013e+02,	4.4297977331e+02,	-4.1448906348e-01
1.6000000000e-03,	-3.8028502026e-02,	2.4999416014e+00,	4.3280943213e+02,	4.3747596116e+02,	-9.3330580654e-02
1.7000000000e-03,	-3.8022027213e-02,	2.4999377986e+00,	4.4316692255e+02,	4.3207745572e+02,	2.2178933667e-01
1.8000000000e-03,	-3.7984358639e-02,	2.4999339980e+00,	4.5330806998e+02,	4.2678446064e+02,	5.3047218688e-01
1.9000000000e-03,	-3.7916163232e-02,	2.4999302027e+00,	4.6320961678e+02,	4.2159774756e+02,	8.3223738448e-01
2.0000000000e-03,	-3.7818161664e-02,	2.4999264158e+00,	4.7284254565e+02,	4.1651850451e+02,	1.1264808228e+00
2.1000000000e-03,	-3.7691144674e-02,	2.4999226401e+00,	4.8216733164e+02,	4.1154821796e+02,	1.4123822736e+00
